Periodo;Provincia;TODOS LOS REGIMENES Total Sexo;TODOS LOS REGIMENES Mujer;TODOS LOS REGIMENES Varon;REGIMEN GENERAL Total Sexo;REGIMEN GENERAL Mujer;REGIMEN GENERAL Varon;R.G.(S.E.AGRARIO) Total Sexo;R.G.(S.E.AGRARIO) Mujer;R.G.(S.E.AGRARIO) Varon;R.G.(S.E. EM. HOGAR) Total Sexo;R.G.(S.E. EM. HOGAR) Mujer;R.G.(S.E. EM. HOGAR) Varon;R.E.AUTONOMOS (NO SETA) Total Sexo;R.E.AUTONOMOS (NO SETA) Mujer;R.E.AUTONOMOS (NO SETA) Varon;REG.E. AUTONOMOS (SETA) Total Sexo;REG.E. AUTONOMOS (SETA) Mujer;REG.E. AUTONOMOS (SETA) Varon;R.E.MAR(CUENTA AJENA) Total Sexo;R.E.MAR(CUENTA AJENA) Mujer;R.E.MAR(CUENTA AJENA) Varon;R.E.MAR(C. PROPIA) Total Sexo;R.E.MAR(C. PROPIA) Mujer;R.E.MAR(C. PROPIA) Varon;R.E. MINERIA CARBON Total Sexo;R.E. MINERIA CARBON Mujer;R.E. MINERIA CARBON Varon
201303;12. Castellon;194739.42;87158.37;107581.05;140817.32;66916.16;73901.16;8417.32;1171.68;7245.63;3999.32;3879.32;120.00;38007.11;14162.89;23844.21;2452.58;994.11;1458.47;1004.95;32.16;972.79;40.84;2.05;38.79;0.00;0.00;0.00
201303;13. Ciudad Real;143386.74;57337.53;86046.21;97049.42;43062.74;53986.68;9156.58;1318.05;7837.53;3154.21;3066.21;86.00;29720.63;9140.95;20579.68;4206.89;739.58;3467.32;0.00;0.00;0.00;0.00;0.00;0.00;99.00;10.00;89.00
201303;14. Cordoba;267618.05;127572.00;140046.05;144150.26;67802.95;76347.32;71435.63;40271.84;31163.79;3953.63;3837.63;116.00;44947.26;14667.00;30280.26;3131.26;992.58;2138.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201303;15. Coruna;389149.42;190810.42;198335.89;284263.47;140519.74;143740.63;1521.11;392.89;1128.21;11846.47;11602.68;243.79;73545.42;29064.84;44480.58;11625.89;7715.53;3910.37;3564.21;198.42;3365.79;2782.84;1316.32;1466.53;0.00;0.00;0.00
201303;16. Cuenca;64632.74;25933.11;38699.63;39501.00;18261.47;21239.53;5001.84;1296.37;3705.47;1237.11;1199.58;37.53;13993.63;4129.74;9863.89;4899.16;1045.95;3853.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201303;17. Girona;265037.16;120937.16;144100.00;197338.37;95605.16;101733.21;3139.00;348.00;2791.00;5564.63;4901.16;663.47;55771.00;19280.53;36490.47;2077.84;712.37;1365.47;994.89;86.95;907.95;151.42;3.00;148.42;0.00;0.00;0.00
201303;18. Granada;287076.89;141423.11;145653.79;170242.21;83131.11;87111.11;55106.95;33045.16;22061.79;6353.47;6127.21;226.26;51774.68;18177.26;33597.42;3414.95;938.11;2476.84;167.63;4.26;163.37;17.00;0.00;17.00;0.00;0.00;0.00
201303;19. Guadalajara;73542.89;32293.63;41249.26;57365.26;26444.26;30921.00;738.89;74.37;664.53;1686.74;1633.00;53.74;12336.32;3943.58;8392.74;1415.68;198.42;1217.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201303;20. Gipuzkoa;290095.58;132673.37;157420.21;212064.11;101070.53;110992.58;443.79;65.11;378.68;8256.95;7890.32;366.63;66716.95;22812.32;43904.63;1475.79;741.58;733.21;1046.89;31.53;1015.37;91.11;62.00;29.11;0.00;0.00;0.00
201303;21. Huelva;195636.11;97052.63;98582.47;91806.42;42164.74;49641.68;75472.58;44955.16;30517.42;1731.74;1673.21;58.53;23005.63;7794.21;15210.42;1493.47;407.47;1086.00;1841.95;52.84;1789.11;284.32;5.00;279.32;0.00;0.00;0.00
201303;22. Huesca;83929.84;36508.37;47421.47;56946.58;27350.47;29596.11;2671.47;351.05;2320.42;1678.89;1643.11;35.79;18882.74;6275.37;12607.37;3750.16;888.37;2861.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
201303;23. Jaen;213301.05;96322.53;116978.53;107353.53;49001.84;58351.68;65998.84;32776.16;33222.68;2527.63;2431.89;95.74;34831.26;11464.84;23366.42;2589.79;647.79;1942.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
